#  Contiguous U.S. 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
Date,Value,Anomaly
200806,52.98,0.96
200807,52.92,0.9
200808,52.73,0.71
200809,52.62,0.6
200810,52.4,0.38
200811,52.4,0.39
200812,52.28,0.27
200901,52.35,0.35
200902,52.52,0.51
200903,52.6,0.58
200904,52.65,0.63
200905,52.84,0.82
200906,52.75,0.73
200907,52.63,0.61
200908,52.6,0.58
200909,52.69,0.67
200910,52.4,0.38
200911,52.56,0.55
200912,52.38,0.37
201001,52.34,0.34
201002,51.93,-0.08
201003,51.99,-0.03
201004,52.18,0.16
201005,52.04,0.02
201006,52.2,0.18
201007,52.37,0.35
201008,52.55,0.53
201009,52.56,0.54
201010,53.03,1.01
201011,52.74,0.73
201012,52.98,0.97
201101,52.9,0.9
201102,53,0.99
201103,52.96,0.94
201104,52.85,0.83
201105,52.79,0.77
201106,52.73,0.71
201107,52.85,0.83
201108,52.93,0.91
201109,52.9,0.88
201110,52.81,0.79
201111,52.93,0.92
201112,53.17,1.16
201201,53.71,1.71
201202,54.08,2.07
201203,54.69,2.67
201204,54.92,2.9
201205,55.28,3.26
201206,55.34,3.32
201207,55.39,3.37
201208,55.29,3.27
201209,55.31,3.29
201210,55.21,3.19
201211,55.23,3.22
201212,55.27,3.26
201301,54.95,2.95
201302,54.72,2.71
201303,53.93,1.91
201304,53.51,1.49
201305,53.3,1.28
201306,53.28,1.26
201307,53.07,1.05
201308,53.01,0.99
201309,53.06,1.04
201310,53.02,1
201311,52.82,0.81
201312,52.42,0.41
201401,52.27,0.27
201402,52.05,0.04
201403,52.02,0
201404,52.19,0.17
201405,52.23,0.21
201406,52.16,0.14
201407,52.08,0.06
201408,52.02,0
201409,51.96,-0.06
201410,52.25,0.23
201411,52.05,0.04
201412,52.53,0.52
201501,52.74,0.74
201502,52.81,0.8
201503,53.22,1.2
201504,53.34,1.32
201505,53.31,1.29
201506,53.45,1.43
201507,53.51,1.49
201508,53.56,1.54
201509,53.76,1.74
201510,53.79,1.77
201511,54.23,2.22
201512,54.38,2.37
201601,54.31,2.31
201602,54.85,2.84
201603,55.03,3.01
201604,55.02,3
201605,54.98,2.96
201606,55.01,2.99
201607,55.12,3.1
201608,55.17,3.15
201609,55.06,3.04
201610,55.1,3.08
201611,55.38,3.37
201612,54.9,2.89
201701,55.01,3.01
201702,55.16,3.15
201703,55.04,3.02
201704,55.09,3.07
201705,55.11,3.09
201706,54.99,2.97
201707,55.03,3.01
201708,54.91,2.89
201709,54.84,2.82
201710,54.67,2.65
201711,54.43,2.42
201712,54.54,2.53
201801,54.42,2.42
201802,53.95,1.94
201803,53.67,1.65
201804,53.27,1.25
201805,53.68,1.66
201806,53.78,1.76
201807,53.76,1.74
201808,53.89,1.87
201809,53.99,1.97
201810,53.83,1.81
201811,53.41,1.4
201812,53.51,1.5
201901,53.54,1.54
201902,53.24,1.23
201903,53.03,1.01
201904,53.35,1.33
201905,52.85,0.83
201906,52.61,0.59
201907,52.54,0.52
201908,52.56,0.54
201909,52.64,0.62
201910,52.5,0.48
201911,52.59,0.58
201912,52.66,0.65
202001,52.91,0.91
202002,53.27,1.26
202003,53.76,1.74
202004,53.59,1.57
202005,53.71,1.69
202006,53.84,1.82
202007,53.93,1.91
202008,54.01,1.99
202009,53.8,1.78
202010,53.98,1.96
202011,54.42,2.41
202012,54.36,2.35
